,Category,counts,Month,sum,Percentage of total contribution,set_size,alpha,date
0,exclusive type,68136.0,2019-12,101649.0,67.03066434495175,100000000,0.33,2019-12 / 2020-01
1,exclusive type,33513.0,2020-01,101649.0,32.969335655048255,100000000,0.33,2019-12 / 2020-01
2,views,7054028615.0,2019-12,14704062160.0,47.97333239102684,100000000,0.33,2019-12 / 2020-01
3,views,7650033545.0,2020-01,14704062160.0,52.02666760897316,100000000,0.33,2019-12 / 2020-01
4,number of pages,6000228.0,2019-12,11965833.0,50.144674424254454,100000000,0.33,2019-12 / 2020-01
5,number of pages,5965605.0,2020-01,11965833.0,49.85532557574554,100000000,0.33,2019-12 / 2020-01
6,divergence,0.041338802223006066,2019-12,0.08286943504235908,49.88425732826048,100000000,0.33,2019-12 / 2020-01
7,divergence,0.04153063281935301,2020-01,0.08286943504235908,50.11574267173952,100000000,0.33,2019-12 / 2020-01
0,exclusive type,17764.0,2020-01,52361.0,33.92601363610321,100000000,0.33,2020-01 / 2020-02
1,exclusive type,34597.0,2020-02,52361.0,66.0739863638968,100000000,0.33,2020-01 / 2020-02
2,views,7650033545.0,2020-01,14693390961.0,52.06445241472942,100000000,0.33,2020-01 / 2020-02
3,views,7043357416.0,2020-02,14693390961.0,47.93554758527057,100000000,0.33,2020-01 / 2020-02
4,number of pages,5965605.0,2020-01,11948043.0,49.92955750159252,100000000,0.33,2020-01 / 2020-02
5,number of pages,5982438.0,2020-02,11948043.0,50.07044249840747,100000000,0.33,2020-01 / 2020-02
6,divergence,0.04077005716726289,2020-01,0.08210621490625672,49.65526326333684,100000000,0.33,2020-01 / 2020-02
7,divergence,0.04133615773899382,2020-02,0.08210621490625672,50.34473673666315,100000000,0.33,2020-01 / 2020-02
0,exclusive type,32614.0,2020-02,69531.0,46.90569673958379,100000000,0.33,2020-02 / 2020-03
1,exclusive type,36917.0,2020-03,69531.0,53.09430326041622,100000000,0.33,2020-02 / 2020-03
2,views,7043357416.0,2020-02,14553679485.0,48.39571617101612,100000000,0.33,2020-02 / 2020-03
3,views,7510322069.0,2020-03,14553679485.0,51.60428382898389,100000000,0.33,2020-02 / 2020-03
4,number of pages,5982438.0,2020-02,11969179.0,49.98202466518381,100000000,0.33,2020-02 / 2020-03
5,number of pages,5986741.0,2020-03,11969179.0,50.0179753348162,100000000,0.33,2020-02 / 2020-03
6,divergence,0.04302362327164786,2020-02,0.08786450485584302,48.965874606856985,100000000,0.33,2020-02 / 2020-03
7,divergence,0.04484088158419515,2020-03,0.08786450485584302,51.034125393143,100000000,0.33,2020-02 / 2020-03
0,exclusive type,7930.0,2020-03,60212.0,13.170132199561548,100000000,0.33,2020-03 / 2020-04
1,exclusive type,52282.0,2020-04,60212.0,86.82986780043845,100000000,0.33,2020-03 / 2020-04
2,views,7510322069.0,2020-03,16197046210.0,46.368467260179536,100000000,0.33,2020-03 / 2020-04
3,views,8686724141.0,2020-04,16197046210.0,53.631532739820464,100000000,0.33,2020-03 / 2020-04
4,number of pages,5986741.0,2020-03,12017834.0,49.81547423603954,100000000,0.33,2020-03 / 2020-04
5,number of pages,6031093.0,2020-04,12017834.0,50.184525763960465,100000000,0.33,2020-03 / 2020-04
6,divergence,0.042400793054242575,2020-03,0.08555331611313077,49.560665770306564,100000000,0.33,2020-03 / 2020-04
7,divergence,0.0431525230588882,2020-04,0.08555331611313077,50.439334229693436,100000000,0.33,2020-03 / 2020-04
0,exclusive type,84737.0,2020-04,116310.0,72.85444071876881,100000000,0.33,2020-04 / 2020-05
1,exclusive type,31573.0,2020-05,116310.0,27.14555928123119,100000000,0.33,2020-04 / 2020-05
2,views,8686724141.0,2020-04,16629005543.0,52.23838622542697,100000000,0.33,2020-04 / 2020-05
3,views,7942281402.0,2020-05,16629005543.0,47.76161377457303,100000000,0.33,2020-04 / 2020-05
4,number of pages,6031093.0,2020-04,12009022.0,50.221350248171746,100000000,0.33,2020-04 / 2020-05
5,number of pages,5977929.0,2020-05,12009022.0,49.778649751828254,100000000,0.33,2020-04 / 2020-05
6,divergence,0.04397253777019123,2020-04,0.08695490375134812,50.569359372684595,100000000,0.33,2020-04 / 2020-05
7,divergence,0.04298236598115689,2020-05,0.08695490375134812,49.430640627315405,100000000,0.33,2020-04 / 2020-05
0,exclusive type,58264.0,2020-05,139190.0,41.85932897478267,100000000,0.33,2020-05 / 2020-06
1,exclusive type,80926.0,2020-06,139190.0,58.14067102521733,100000000,0.33,2020-05 / 2020-06
2,views,7942281402.0,2020-05,14907213163.0,53.27810983284857,100000000,0.33,2020-05 / 2020-06
3,views,6964931761.0,2020-06,14907213163.0,46.72189016715143,100000000,0.33,2020-05 / 2020-06
4,number of pages,5977929.0,2020-05,11978520.0,49.90540567616033,100000000,0.33,2020-05 / 2020-06
5,number of pages,6000591.0,2020-06,11978520.0,50.09459432383967,100000000,0.33,2020-05 / 2020-06
6,divergence,0.04090788623975954,2020-05,0.08395537400206703,48.72575070507383,100000000,0.33,2020-05 / 2020-06
7,divergence,0.04304748776230748,2020-06,0.08395537400206703,51.27424929492618,100000000,0.33,2020-05 / 2020-06
0,exclusive type,8812.0,2020-06,114320.0,7.708187543736879,100000000,0.33,2020-06 / 2020-07
1,exclusive type,105508.0,2020-07,114320.0,92.29181245626312,100000000,0.33,2020-06 / 2020-07
2,views,6964931761.0,2020-06,14080539567.0,49.46494932142681,100000000,0.33,2020-06 / 2020-07
3,views,7115607806.0,2020-07,14080539567.0,50.53505067857319,100000000,0.33,2020-06 / 2020-07
4,number of pages,6000591.0,2020-06,12097878.0,49.60035966638116,100000000,0.33,2020-06 / 2020-07
5,number of pages,6097287.0,2020-07,12097878.0,50.399640333618834,100000000,0.33,2020-06 / 2020-07
6,divergence,0.040041390720427665,2020-06,0.08178241018664278,48.96088367785409,100000000,0.33,2020-06 / 2020-07
7,divergence,0.04174101946621512,2020-07,0.08178241018664278,51.039116322145915,100000000,0.33,2020-06 / 2020-07
0,exclusive type,84631.0,2020-07,114240.0,74.08175770308122,100000000,0.33,2020-07 / 2020-08
1,exclusive type,29609.0,2020-08,114240.0,25.91824229691877,100000000,0.33,2020-07 / 2020-08
2,views,7115607806.0,2020-07,14197928427.0,50.11722549937884,100000000,0.33,2020-07 / 2020-08
3,views,7082320621.0,2020-08,14197928427.0,49.88277450062117,100000000,0.33,2020-07 / 2020-08
4,number of pages,6097287.0,2020-07,12139552.0,50.226622860547074,100000000,0.33,2020-07 / 2020-08
5,number of pages,6042265.0,2020-08,12139552.0,49.773377139452926,100000000,0.33,2020-07 / 2020-08
6,divergence,0.03924448434063801,2020-07,0.08019916330222654,48.93378275375159,100000000,0.33,2020-07 / 2020-08
7,divergence,0.04095467896158853,2020-08,0.08019916330222654,51.0662172462484,100000000,0.33,2020-07 / 2020-08
0,exclusive type,57422.0,2020-08,135236.0,42.46058741755154,100000000,0.33,2020-08 / 2020-09
1,exclusive type,77814.0,2020-09,135236.0,57.539412582448456,100000000,0.33,2020-08 / 2020-09
2,views,7082320621.0,2020-08,13912933532.0,50.904581731167866,100000000,0.33,2020-08 / 2020-09
3,views,6830612911.0,2020-09,13912933532.0,49.095418268832134,100000000,0.33,2020-08 / 2020-09
4,number of pages,6042265.0,2020-08,12104922.0,49.91576980008628,100000000,0.33,2020-08 / 2020-09
5,number of pages,6062657.0,2020-09,12104922.0,50.084230199913726,100000000,0.33,2020-08 / 2020-09
6,divergence,0.04117251726279103,2020-08,0.08415605256575026,48.92401200807674,100000000,0.33,2020-08 / 2020-09
7,divergence,0.04298353530295923,2020-09,0.08415605256575026,51.075987991923256,100000000,0.33,2020-08 / 2020-09
0,exclusive type,9903.0,2020-09,108913.0,9.09257848007125,100000000,0.33,2020-09 / 2020-10
1,exclusive type,99010.0,2020-10,108913.0,90.90742151992876,100000000,0.33,2020-09 / 2020-10
2,views,6830612911.0,2020-09,14259095547.0,47.90354962196117,100000000,0.33,2020-09 / 2020-10
3,views,7428482636.0,2020-10,14259095547.0,52.09645037803884,100000000,0.33,2020-09 / 2020-10
4,number of pages,6062657.0,2020-09,12214421.0,49.63523854303041,100000000,0.33,2020-09 / 2020-10
5,number of pages,6151764.0,2020-10,12214421.0,50.364761456969596,100000000,0.33,2020-09 / 2020-10
6,divergence,0.0409867722546512,2020-09,0.08378672004208844,48.91798155371446,100000000,0.33,2020-09 / 2020-10
7,divergence,0.04279994778743724,2020-10,0.08378672004208844,51.08201844628554,100000000,0.33,2020-09 / 2020-10
0,exclusive type,52479.0,2020-10,78790.0,66.60616829546898,100000000,0.33,2020-10 / 2020-11
1,exclusive type,26311.0,2020-11,78790.0,33.39383170453103,100000000,0.33,2020-10 / 2020-11
2,views,7428482636.0,2020-10,15037213635.0,49.40065903373062,100000000,0.33,2020-10 / 2020-11
3,views,7608730999.0,2020-11,15037213635.0,50.59934096626938,100000000,0.33,2020-10 / 2020-11
4,number of pages,6151764.0,2020-10,12277360.0,50.106570142115245,100000000,0.33,2020-10 / 2020-11
5,number of pages,6125596.0,2020-11,12277360.0,49.893429857884755,100000000,0.33,2020-10 / 2020-11
6,divergence,0.041043376894973525,2020-10,0.08346664023719279,49.17339044477864,100000000,0.33,2020-10 / 2020-11
7,divergence,0.04242326334221926,2020-11,0.08346664023719279,50.82660955522136,100000000,0.33,2020-10 / 2020-11
0,exclusive type,84522.0,2020-11,142438.0,59.339502099158935,100000000,0.33,2020-11 / 2020-12
1,exclusive type,57916.0,2020-12,142438.0,40.66049790084107,100000000,0.33,2020-11 / 2020-12
2,views,7608730999.0,2020-11,14941382141.0,50.92387656775882,100000000,0.33,2020-11 / 2020-12
3,views,7332651142.0,2020-12,14941382141.0,49.07612343224118,100000000,0.33,2020-11 / 2020-12
4,number of pages,6125596.0,2020-11,12224586.0,50.10882168115959,100000000,0.33,2020-11 / 2020-12
5,number of pages,6098990.0,2020-12,12224586.0,49.89117831884041,100000000,0.33,2020-11 / 2020-12
6,divergence,0.04162885933811775,2020-11,0.0841440329620052,49.47333503365003,100000000,0.33,2020-11 / 2020-12
7,divergence,0.042515173623887445,2020-12,0.0841440329620052,50.526664966349955,100000000,0.33,2020-11 / 2020-12
